table,seq,column,is_pk,is_fk,id,type,size,description,d_caster,d_has_codes
qualitymsr_data,1,id,1,,tpTSZsQg4S01,INTEGER,,A list of the quality measure scores currently displayed on Nursing Home Compare for each nursing home. Each row contains a specific quality measure for a specific nursing home and includes the three-quarter score average and the score for each individual quarter.,,
qualitymsr_data,2,provnum,,,cpTSZsQg4S01002,VARCHAR,6,provnum,,1
qualitymsr_data,3,provname,,,cpTSZsQg4S01003,VARCHAR,50,provname,,
qualitymsr_data,4,address,,,cpTSZsQg4S01004,VARCHAR,50,address,,
qualitymsr_data,5,city,,,cpTSZsQg4S01005,VARCHAR,20,city,,
qualitymsr_data,6,state,,,cpTSZsQg4S01006,VARCHAR,2,state,,
qualitymsr_data,7,zip,,,cpTSZsQg4S01007,VARCHAR,5,zip,,
qualitymsr_data,8,msr_cd,,,cpTSZsQg4S01008,INTEGER,3,msr_cd,,
qualitymsr_data,9,msr_descr,,,cpTSZsQg4S01009,VARCHAR,104,msr_descr,,
qualitymsr_data,10,stay_type,,,cpTSZsQg4S0100a,VARCHAR,10,stay_type,,
qualitymsr_data,11,q1_measure_score,,,cpTSZsQg4S0100b,REAL,,q1_measure_score,,
qualitymsr_data,12,q1_measure_fn,,,cpTSZsQg4S0100c,VARCHAR,98,q1_measure_fn,,
qualitymsr_data,13,q2_measure_score,,,cpTSZsQg4S0100d,REAL,,q2_measure_score,,
qualitymsr_data,14,q2_measure_fn,,,cpTSZsQg4S0100e,VARCHAR,98,q2_measure_fn,,
qualitymsr_data,15,q3_measure_score,,,cpTSZsQg4S0100f,REAL,,q3_measure_score,,
qualitymsr_data,16,q3_measure_fn,,,cpTSZsQg4S0100g,VARCHAR,98,q3_measure_fn,,
qualitymsr_data,17,measure_score_3qtr_avg,,,cpTSZsQg4S0100h,REAL,,measure_score_3qtr_avg,,
qualitymsr_data,18,score3qtr_fn,,,cpTSZsQg4S0100i,VARCHAR,98,score3qtr_fn,,
qualitymsr_data,19,five_star_msr,,,cpTSZsQg4S0100j,VARCHAR,1,five_star_msr,,
qualitymsr_data,20,q1_quarter,,,cpTSZsQg4S0100k,VARCHAR,6,q1_quarter,,
qualitymsr_data,21,q2_quarter,,,cpTSZsQg4S0100l,VARCHAR,6,q2_quarter,,
qualitymsr_data,22,q3_quarter,,,cpTSZsQg4S0100m,VARCHAR,6,q3_quarter,,
qualitymsr_data,23,filedate,,,cpTSZsQg4S0100n,DATE,,filedate,,
,,,,,,,,,,
penalties_data,1,id,1,,tpTSZsQg4S02,INTEGER,,A list of the fines and payment denials currently displayed on Nursing Home Compare.,,
penalties_data,2,provnum,,,cpTSZsQg4S02002,VARCHAR,6,provnum,,
penalties_data,3,provname,,,cpTSZsQg4S02003,VARCHAR,50,provname,,
penalties_data,4,address,,,cpTSZsQg4S02004,VARCHAR,40,address,,
penalties_data,5,city,,,cpTSZsQg4S02005,VARCHAR,20,city,,
penalties_data,6,state,,,cpTSZsQg4S02006,VARCHAR,20,state,,
penalties_data,7,zip,,,cpTSZsQg4S02007,VARCHAR,5,zip,,
penalties_data,8,pnlty_date,,,cpTSZsQg4S02008,DATE,,pnlty_date,,
penalties_data,9,pnlty_type,,,cpTSZsQg4S02009,VARCHAR,14,pnlty_type,,
penalties_data,10,fine_amt,,,cpTSZsQg4S0200a,INTEGER,6,fine_amt,,
penalties_data,11,payden_strt_dt,,,cpTSZsQg4S0200b,VARCHAR,10,payden_strt_dt,,
penalties_data,12,payden_days,,,cpTSZsQg4S0200c,VARCHAR,4,payden_days,,
penalties_data,13,filedate,,,cpTSZsQg4S0200d,DATE,,filedate,,
,,,,,,,,,,
stateaverages_data,1,id,1,,tpTSZsQg4S03,INTEGER,,"A list of a variety of averages for each state or territory as well as the national average, including each quality measure, staffing, fine amount and number of deficiencies. Each row displays a specific state or territory, the associated measure and average.",,
stateaverages_data,2,state,,,cpTSZsQg4S03002,VARCHAR,6,STATE,,
stateaverages_data,3,c1_hlth_defs_cnt,,,cpTSZsQg4S03003,REAL,,C1_HLTH_DEFS_CNT,,
stateaverages_data,4,c1_fs_defs_cnt,,,cpTSZsQg4S03004,REAL,,C1_FS_DEFS_CNT,,
stateaverages_data,5,c2_hlth_defs_cnt,,,cpTSZsQg4S03005,REAL,,C2_HLTH_DEFS_CNT,,
stateaverages_data,6,c2_fs_defs_cnt,,,cpTSZsQg4S03006,REAL,,C2_FS_DEFS_CNT,,
stateaverages_data,7,c3_hlth_defs_cnt,,,cpTSZsQg4S03007,REAL,,C3_HLTH_DEFS_CNT,,
stateaverages_data,8,c3_fs_defs_cnt,,,cpTSZsQg4S03008,REAL,,C3_FS_DEFS_CNT,,
stateaverages_data,9,aidhrd,,,cpTSZsQg4S03009,REAL,,aidhrd,,
stateaverages_data,10,vochrd,,,cpTSZsQg4S0300a,REAL,,vochrd,,
stateaverages_data,11,rnhrd,,,cpTSZsQg4S0300b,REAL,,rnhrd,,
stateaverages_data,12,totlichrd,,,cpTSZsQg4S0300c,REAL,,totlichrd,,
stateaverages_data,13,tothrd,,,cpTSZsQg4S0300d,REAL,,tothrd,,
stateaverages_data,14,pthrd,,,cpTSZsQg4S0300e,REAL,,pthrd,,
stateaverages_data,15,fine_cnt,,,cpTSZsQg4S0300f,REAL,,FINE_CNT,,
stateaverages_data,16,fine_tot,,,cpTSZsQg4S0300g,INTEGER,5,FINE_TOT,,
stateaverages_data,17,qm401,,,cpTSZsQg4S0300h,REAL,,QM401,,
stateaverages_data,18,qm402,,,cpTSZsQg4S0300i,REAL,,QM402,,
stateaverages_data,19,qm403,,,cpTSZsQg4S0300j,REAL,,QM403,,
stateaverages_data,20,qm404,,,cpTSZsQg4S0300k,REAL,,QM404,,
stateaverages_data,21,qm405,,,cpTSZsQg4S0300l,REAL,,QM405,,
stateaverages_data,22,qm406,,,cpTSZsQg4S0300m,REAL,,QM406,,
stateaverages_data,23,qm407,,,cpTSZsQg4S0300n,REAL,,QM407,,
stateaverages_data,24,qm408,,,cpTSZsQg4S0300o,REAL,,QM408,,
stateaverages_data,25,qm409,,,cpTSZsQg4S0300p,REAL,,QM409,,
stateaverages_data,26,qm410,,,cpTSZsQg4S0300q,REAL,,QM410,,
stateaverages_data,27,qm411,,,cpTSZsQg4S0300r,REAL,,QM411,,
stateaverages_data,28,qm415,,,cpTSZsQg4S0300s,REAL,,QM415,,
stateaverages_data,29,qm419,,,cpTSZsQg4S0300t,REAL,,QM419,,
stateaverages_data,30,qm424,,,cpTSZsQg4S0300u,REAL,,QM424,,
stateaverages_data,31,qm425,,,cpTSZsQg4S0300v,REAL,,QM425,,
stateaverages_data,32,qm426,,,cpTSZsQg4S0300w,REAL,,QM426,,
stateaverages_data,33,qm430,,,cpTSZsQg4S0300x,REAL,,QM430,,
stateaverages_data,34,qm434,,,cpTSZsQg4S0300y,REAL,,QM434,,
stateaverages_data,35,filedate,,,cpTSZsQg4S0300z,DATE,,FILEDATE,,
,,,,,,,,,,
ownership_data,1,id,1,,tpTSZsQg4S04,INTEGER,,A list of ownership information for currently active nursing homes.,,
ownership_data,2,provnum,,,cpTSZsQg4S04002,VARCHAR,6,PROVNUM,,1
ownership_data,3,provname,,,cpTSZsQg4S04003,VARCHAR,50,PROVNAME,,
ownership_data,4,address,,,cpTSZsQg4S04004,VARCHAR,50,ADDRESS,,
ownership_data,5,city,,,cpTSZsQg4S04005,VARCHAR,20,CITY,,
ownership_data,6,state,,,cpTSZsQg4S04006,VARCHAR,2,STATE,,
ownership_data,7,zip,,,cpTSZsQg4S04007,VARCHAR,5,ZIP,,
ownership_data,8,role_desc,,,cpTSZsQg4S04008,VARCHAR,41,ROLE_DESC,,
ownership_data,9,owner_type,,,cpTSZsQg4S04009,VARCHAR,12,OWNER_TYPE,,
ownership_data,10,owner_name,,,cpTSZsQg4S0400a,VARCHAR,70,OWNER_NAME,,
ownership_data,11,owner_percentage,,,cpTSZsQg4S0400b,VARCHAR,22,OWNER_PERCENTAGE,,
ownership_data,12,association_date,,,cpTSZsQg4S0400c,DATE,,ASSOCIATION_DATE,association_date_caster,
ownership_data,13,filedate,,,cpTSZsQg4S0400d,DATE,,filedate,,
,,,,,,,,,,
deficiencies_data,1,id,1,,tpTSZsQg4S05,INTEGER,,"A list of all deficiencies currently listed on Nursing Home Compare, including the nursing home that received the deficiency, the associated inspection date, deficiency tag number, scope and severity, the current status of the deficiency and the correction date. Data are presented as one deficiency per row.",,
deficiencies_data,2,provnum,,,cpTSZsQg4S05002,VARCHAR,6,provnum,,
deficiencies_data,3,provname,,,cpTSZsQg4S05003,VARCHAR,50,Provname,,
deficiencies_data,4,address,,,cpTSZsQg4S05004,VARCHAR,50,address,,
deficiencies_data,5,city,,,cpTSZsQg4S05005,VARCHAR,20,city,,
deficiencies_data,6,state,,,cpTSZsQg4S05006,VARCHAR,2,state,,
deficiencies_data,7,zip,,,cpTSZsQg4S05007,VARCHAR,5,zip,,
deficiencies_data,8,survey_date_output,,,cpTSZsQg4S05008,DATE,,survey_date_output,,
deficiencies_data,9,surveytype,,,cpTSZsQg4S05009,VARCHAR,11,SurveyType,,
deficiencies_data,10,defpref,,,cpTSZsQg4S0500a,VARCHAR,1,defpref,,
deficiencies_data,11,tag,,,cpTSZsQg4S0500b,INTEGER,3,tag,,
deficiencies_data,12,tag_desc,,,cpTSZsQg4S0500c,VARCHAR,255,tag_desc,,
deficiencies_data,13,scope,,,cpTSZsQg4S0500d,VARCHAR,1,scope,,
deficiencies_data,14,defstat,,,cpTSZsQg4S0500e,VARCHAR,45,defstat,,
deficiencies_data,15,statdate,,,cpTSZsQg4S0500f,DATE,,statdate,,
deficiencies_data,16,cycle,,,cpTSZsQg4S0500g,INTEGER,1,cycle,,
deficiencies_data,17,standard,,,cpTSZsQg4S0500h,VARCHAR,1,standard,,
deficiencies_data,18,complaint,,,cpTSZsQg4S0500i,VARCHAR,1,complaint,,
deficiencies_data,19,filedate,,,cpTSZsQg4S0500j,DATE,,filedate,,
,,,,,,,,,,
surveysummary_data,1,id,1,,tpTSZsQg4S06,INTEGER,,"Nursing home summary information for the Health and Fire Safety Inspections currently listed on Nursing Home Compare, including dates of the three most recent inspections (including those with no deficiencies), and counts of deficiencies sited, overall and within the categories listed on Nursing Home Compare. Data are presented as one inspection cycle per provider. Note that deficiency counts do not include citations from complaint inspections.",,
surveysummary_data,2,provnum,,,cpTSZsQg4S06002,VARCHAR,6,PROVNUM,,1
surveysummary_data,3,provname,,,cpTSZsQg4S06003,VARCHAR,50,PROVNAME,,
surveysummary_data,4,address,,,cpTSZsQg4S06004,VARCHAR,50,ADDRESS,,
surveysummary_data,5,city,,,cpTSZsQg4S06005,VARCHAR,20,CITY,,
surveysummary_data,6,state,,,cpTSZsQg4S06006,VARCHAR,2,STATE,,
surveysummary_data,7,zip,,,cpTSZsQg4S06007,VARCHAR,5,ZIP,,
surveysummary_data,8,cycle,,,cpTSZsQg4S06008,INTEGER,1,cycle,,
surveysummary_data,9,h_survey_date,,,cpTSZsQg4S06009,DATE,,H_SURVEY_DATE,,
surveysummary_data,10,f_survey_date,,,cpTSZsQg4S0600a,DATE,,F_SURVEY_DATE,,
surveysummary_data,11,h_tot_dfcncy,,,cpTSZsQg4S0600b,INTEGER,2,H_TOT_DFCNCY,int_na_caster,
surveysummary_data,12,f_tot_dfcncy,,,cpTSZsQg4S0600c,INTEGER,2,F_TOT_DFCNCY,int_na_caster,
surveysummary_data,13,h_ss_max,,,cpTSZsQg4S0600d,VARCHAR,4,H_SS_MAX,,
surveysummary_data,14,f_ss_max,,,cpTSZsQg4S0600e,VARCHAR,4,F_SS_MAX,,
surveysummary_data,15,h_ij_n,,,cpTSZsQg4S0600f,INTEGER,2,H_IJ_N,int_na_caster,
surveysummary_data,16,f_ij_n,,,cpTSZsQg4S0600g,INTEGER,1,F_IJ_N,int_na_caster,
surveysummary_data,17,h_severe_n,,,cpTSZsQg4S0600h,INTEGER,2,H_SEVERE_N,int_na_caster,
surveysummary_data,18,f_severe_n,,,cpTSZsQg4S0600i,INTEGER,1,F_SEVERE_N,int_na_caster,
surveysummary_data,19,h_substndrd_qoc_n,,,cpTSZsQg4S0600j,INTEGER,1,H_SUBSTNDRD_QOC_N,int_na_caster,
surveysummary_data,20,h_administration_n,,,cpTSZsQg4S0600k,INTEGER,2,H_ADMINISTRATION_N,int_na_caster,
surveysummary_data,21,h_environmental_n,,,cpTSZsQg4S0600l,INTEGER,1,H_ENVIRONMENTAL_N,int_na_caster,
surveysummary_data,22,h_mistreat_n,,,cpTSZsQg4S0600m,INTEGER,1,H_MISTREAT_N,int_na_caster,
surveysummary_data,23,h_nutrition_n,,,cpTSZsQg4S0600n,INTEGER,1,H_NUTRITION_N,int_na_caster,
surveysummary_data,24,h_pharmacy_n,,,cpTSZsQg4S0600o,INTEGER,1,H_PHARMACY_N,int_na_caster,
surveysummary_data,25,h_quality_care_n,,,cpTSZsQg4S0600p,INTEGER,2,H_QUALITY_CARE_N,int_na_caster,
surveysummary_data,26,h_res_asmnt_n,,,cpTSZsQg4S0600q,INTEGER,1,H_RES_ASMNT_N,int_na_caster,
surveysummary_data,27,h_res_rights_n,,,cpTSZsQg4S0600r,INTEGER,2,H_RES_RIGHTS_N,int_na_caster,
surveysummary_data,28,f_construction_n,,,cpTSZsQg4S0600s,INTEGER,1,F_CONSTRUCTION_N,int_na_caster,
surveysummary_data,29,f_corridor_doors_n,,,cpTSZsQg4S0600t,INTEGER,1,F_CORRIDOR_DOORS_N,int_na_caster,
surveysummary_data,30,f_electrical_n,,,cpTSZsQg4S0600u,INTEGER,1,F_ELECTRICAL_N,int_na_caster,
surveysummary_data,31,f_emergency_plan_n,,,cpTSZsQg4S0600v,INTEGER,1,F_EMERGENCY_PLAN_N,int_na_caster,
surveysummary_data,32,f_exit_egress_n,,,cpTSZsQg4S0600w,INTEGER,1,F_EXIT_EGRESS_N,int_na_caster,
surveysummary_data,33,f_exit_access_n,,,cpTSZsQg4S0600x,INTEGER,1,F_EXIT_ACCESS_N,int_na_caster,
surveysummary_data,34,f_fire_alarm_n,,,cpTSZsQg4S0600y,INTEGER,1,F_FIRE_ALARM_N,int_na_caster,
surveysummary_data,35,f_furnishings_n,,,cpTSZsQg4S0600z,INTEGER,1,F_FURNISHINGS_N,int_na_caster,
surveysummary_data,36,f_hazard_area_n,,,cpTSZsQg4S0600A,INTEGER,1,F_HAZARD_AREA_N,int_na_caster,
surveysummary_data,37,f_illumination_n,,,cpTSZsQg4S0600B,INTEGER,1,F_ILLUMINATION_N,int_na_caster,
surveysummary_data,38,f_interior_n,,,cpTSZsQg4S0600C,INTEGER,1,F_INTERIOR_N,int_na_caster,
surveysummary_data,39,f_laboratories_n,,,cpTSZsQg4S0600D,INTEGER,1,F_LABORATORIES_N,int_na_caster,
surveysummary_data,40,f_medical_gas_n,,,cpTSZsQg4S0600E,INTEGER,1,F_MEDICAL_GAS_N,int_na_caster,
surveysummary_data,41,f_miscellaneous_n,,,cpTSZsQg4S0600F,INTEGER,1,F_MISCELLANEOUS_N,int_na_caster,
surveysummary_data,42,f_service_equipment_n,,,cpTSZsQg4S0600G,INTEGER,1,F_SERVICE_EQUIPMENT_N,int_na_caster,
surveysummary_data,43,f_smoke_control_n,,,cpTSZsQg4S0600H,INTEGER,1,F_SMOKE_CONTROL_N,int_na_caster,
surveysummary_data,44,f_smoking_reg_n,,,cpTSZsQg4S0600I,INTEGER,1,F_SMOKING_REG_N,int_na_caster,
surveysummary_data,45,f_sprinkler_n,,,cpTSZsQg4S0600J,INTEGER,1,F_SPRINKLER_N,int_na_caster,
surveysummary_data,46,f_vert_openings_n,,,cpTSZsQg4S0600K,INTEGER,1,F_VERT_OPENINGS_N,int_na_caster,
surveysummary_data,47,filedate,,,cpTSZsQg4S0600L,DATE,,filedate,,
,,,,,,,,,,
providerinfo_data,1,id,1,,tpTSZsQg4S07,INTEGER,,"General information on currently active nursing homes, including number of certified beds, quality measure scores, staffing and other information used in the Five-Star Rating System. Data are presented as one row per nursing home.",,
providerinfo_data,2,provnum,,,cpTSZsQg4S07002,VARCHAR,6,provnum,,1
providerinfo_data,3,provname,,,cpTSZsQg4S07003,VARCHAR,50,PROVNAME,,
providerinfo_data,4,address,,,cpTSZsQg4S07004,VARCHAR,50,ADDRESS,,
providerinfo_data,5,city,,,cpTSZsQg4S07005,VARCHAR,20,CITY,,
providerinfo_data,6,state,,,cpTSZsQg4S07006,VARCHAR,2,STATE,,
providerinfo_data,7,zip,,,cpTSZsQg4S07007,VARCHAR,5,ZIP,,
providerinfo_data,8,phone,,,cpTSZsQg4S07008,INTEGER64,10,PHONE,,
providerinfo_data,9,county_ssa,,,cpTSZsQg4S07009,VARCHAR,3,COUNTY_SSA,,
providerinfo_data,10,county_name,,,cpTSZsQg4S0700a,VARCHAR,21,COUNTY_NAME,,
providerinfo_data,11,ownership,,,cpTSZsQg4S0700b,VARCHAR,38,OWNERSHIP,,
providerinfo_data,12,bedcert,,,cpTSZsQg4S0700c,INTEGER,4,BEDCERT,,
providerinfo_data,13,restot,,,cpTSZsQg4S0700d,INTEGER,3,RESTOT,,
providerinfo_data,14,certification,,,cpTSZsQg4S0700e,VARCHAR,21,CERTIFICATION,,
providerinfo_data,15,inhosp,,,cpTSZsQg4S0700f,VARCHAR,3,INHOSP,,
providerinfo_data,16,lbn,,,cpTSZsQg4S0700g,VARCHAR,70,LBN,,
providerinfo_data,17,participation_date,,,cpTSZsQg4S0700h,DATE,,PARTICIPATION_DATE,,
providerinfo_data,18,ccrc_facil,,,cpTSZsQg4S0700i,VARCHAR,1,CCRC_FACIL,,
providerinfo_data,19,sff,,,cpTSZsQg4S0700j,VARCHAR,1,SFF,,
providerinfo_data,20,chow_last_12mos,,,cpTSZsQg4S0700k,VARCHAR,1,CHOW_LAST_12MOS,,
providerinfo_data,21,resfamcouncil,,,cpTSZsQg4S0700l,VARCHAR,8,resfamcouncil,,
providerinfo_data,22,sprinkler_status,,,cpTSZsQg4S0700m,VARCHAR,7,sprinkler_status,,
providerinfo_data,23,overall_rating,,,cpTSZsQg4S0700n,INTEGER,1,overall_rating,,
providerinfo_data,24,overall_rating_fn,,,cpTSZsQg4S0700o,VARCHAR,18,overall_rating_fn,,
providerinfo_data,25,survey_rating,,,cpTSZsQg4S0700p,INTEGER,1,survey_rating,,
providerinfo_data,26,survey_rating_fn,,,cpTSZsQg4S0700q,VARCHAR,18,survey_rating_fn,,
providerinfo_data,27,quality_rating,,,cpTSZsQg4S0700r,INTEGER,1,quality_rating,,
providerinfo_data,28,quality_rating_fn,,,cpTSZsQg4S0700s,VARCHAR,18,quality_rating_fn,,
